Race{actualTime=12965, actualLap=217}
Race{actualTime=12980, actualLap=217}
Race{actualTime=12995, actualLap=217}
Race{actualTime=13010, actualLap=217}
Race{actualTime=13025, actualLap=218}
Race{actualTime=13040, actualLap=218}
Race{actualTime=13055, actualLap=218}
Race{actualTime=13070, actualLap=218}
Race{actualTime=13085, actualLap=219}
Race{actualTime=13100, actualLap=219}
Race{actualTime=13115, actualLap=219}
Race{actualTime=13130, actualLap=219}
Race{actualTime=13160, actualLap=220}
Race{actualTime=13175, actualLap=220}
Race{actualTime=13190, actualLap=220}
Race{actualTime=13205, actualLap=221}
Race{actualTime=13220, actualLap=221}
Race{actualTime=13235, actualLap=221}
Race{actualTime=13250, actualLap=221}
Race{actualTime=13265, actualLap=222}
Race{actualTime=13280, actualLap=222}
Race{actualTime=13295, actualLap=222}
Race{actualTime=13310, actualLap=222}
Race{actualTime=13325, actualLap=223}
Race{actualTime=13340, actualLap=223}
Race{actualTime=13355, actualLap=223}
Race{actualTime=13370, actualLap=223}
Race{actualTime=13385, actualLap=224}
Race{actualTime=13400, actualLap=224}
Race{actualTime=13415, actualLap=224}
Race{actualTime=13430, actualLap=224}
Race{actualTime=13445, actualLap=225}
Race{actualTime=13460, actualLap=225}
Race{actualTime=13475, actualLap=225}
Race{actualTime=13490, actualLap=225}
Race{actualTime=13505, actualLap=226}
Race{actualTime=13520, actualLap=226}
Race{actualTime=13535, actualLap=226}
Race{actualTime=13550, actualLap=226}
Race{actualTime=13565, actualLap=227}
Race{actualTime=13580, actualLap=227}
Race{actualTime=13595, actualLap=227}
Race{actualTime=13610, actualLap=227}
Race{actualTime=13625, actualLap=228}
Race{actualTime=13640, actualLap=228}
Race{actualTime=13655, actualLap=228}
Race{actualTime=13670, actualLap=228}
Race{actualTime=13685, actualLap=229}
Race{actualTime=13700, actualLap=229}
Race{actualTime=13715, actualLap=229}
Race{actualTime=13730, actualLap=229}
Race{actualTime=13745, actualLap=230}
Race{actualTime=13760, actualLap=230}
Race{actualTime=13775, actualLap=230}
Race{actualTime=13790, actualLap=230}
Race{actualTime=13805, actualLap=231}
Race{actualTime=13820, actualLap=231}
Race{actualTime=13835, actualLap=231}
Race{actualTime=13850, actualLap=231}
Race{actualTime=13865, actualLap=232}
Race{actualTime=13880, actualLap=232}
Race{actualTime=13895, actualLap=232}
Race{actualTime=13910, actualLap=232}
Race{actualTime=13925, actualLap=233}
Race{actualTime=13940, actualLap=233}
Race{actualTime=13955, actualLap=233}
Race{actualTime=13970, actualLap=233}
Race{actualTime=13985, actualLap=234}
Race{actualTime=14000, actualLap=234}
Race{actualTime=14015, actualLap=234}
Race{actualTime=14030, actualLap=234}
Race{actualTime=14045, actualLap=235}
Race{actualTime=14060, actualLap=235}
Race{actualTime=14075, actualLap=235}
Race{actualTime=14090, actualLap=235}
Race{actualTime=14105, actualLap=236}
Race{actualTime=14120, actualLap=236}
Race{actualTime=14135, actualLap=236}
Race{actualTime=14150, actualLap=236}
Race{actualTime=14165, actualLap=237}
Race{actualTime=14180, actualLap=237}
Race{actualTime=14195, actualLap=237}
Race{actualTime=14210, actualLap=237}
Race{actualTime=14225, actualLap=238}
Race{actualTime=14240, actualLap=238}
Race{actualTime=14255, actualLap=238}
Race{actualTime=14270, actualLap=238}
Race{actualTime=14285, actualLap=239}
Race{actualTime=14300, actualLap=239}
Race{actualTime=14315, actualLap=239}
Race{actualTime=14330, actualLap=239}
Race{actualTime=14345, actualLap=240}
Race{actualTime=14360, actualLap=240}
Race{actualTime=14375, actualLap=240}
Race{actualTime=14391, actualLap=240}
Race{actualTime=14406, actualLap=241}
Race{actualTime=14421, actualLap=241}
Race{actualTime=14436, actualLap=241}
Race{actualTime=14451, actualLap=241}
Race{actualTime=14466, actualLap=242}
Race{actualTime=14481, actualLap=242}
Race{actualTime=14496, actualLap=242}
Race{actualTime=14511, actualLap=242}
Race{actualTime=14526, actualLap=243}
Race{actualTime=14541, actualLap=243}
Race{actualTime=14556, actualLap=243}
Race{actualTime=14571, actualLap=243}
Race{actualTime=14586, actualLap=244}
Race{actualTime=14601, actualLap=244}
Race{actualTime=14616, actualLap=244}
Race{actualTime=14631, actualLap=244}
Race{actualTime=14646, actualLap=245}
Race{actualTime=14661, actualLap=245}
Race{actualTime=14676, actualLap=245}
Race{actualTime=14691, actualLap=245}
Race{actualTime=14706, actualLap=246}
Race{actualTime=14721, actualLap=246}
Race{actualTime=14736, actualLap=246}
Race{actualTime=14751, actualLap=246}
Race{actualTime=14766, actualLap=247}
Race{actualTime=14781, actualLap=247}
Race{actualTime=14796, actualLap=247}
Race{actualTime=14811, actualLap=247}
Race{actualTime=14826, actualLap=248}
Race{actualTime=14841, actualLap=248}
Race{actualTime=14856, actualLap=248}
Race{actualTime=14871, actualLap=248}
Race{actualTime=14886, actualLap=249}
Race{actualTime=14901, actualLap=249}
Race{actualTime=14916, actualLap=249}
Race{actualTime=14931, actualLap=249}
Race{actualTime=14946, actualLap=250}
Race{actualTime=14961, actualLap=250}
Race{actualTime=14976, actualLap=250}
Race{actualTime=14991, actualLap=250}
Race{actualTime=15006, actualLap=251}
Race{actualTime=15021, actualLap=251}
Race{actualTime=15036, actualLap=251}
Race{actualTime=15051, actualLap=251}
Race{actualTime=15066, actualLap=252}
Race{actualTime=15081, actualLap=252}
Race{actualTime=15096, actualLap=252}
Race{actualTime=15111, actualLap=252}
Race{actualTime=15126, actualLap=253}
Race{actualTime=15141, actualLap=253}
Race{actualTime=15156, actualLap=253}
Race{actualTime=15171, actualLap=253}
Race{actualTime=15186, actualLap=254}
Race{actualTime=15201, actualLap=254}
Race{actualTime=15216, actualLap=254}
Race{actualTime=15231, actualLap=254}
Race{actualTime=15246, actualLap=255}
Race{actualTime=15261, actualLap=255}
Race{actualTime=15276, actualLap=255}
Race{actualTime=15291, actualLap=255}
Race{actualTime=15306, actualLap=256}
Race{actualTime=15321, actualLap=256}
Race{actualTime=15336, actualLap=256}
Race{actualTime=15351, actualLap=256}
Race{actualTime=15366, actualLap=257}
Race{actualTime=15381, actualLap=257}
Race{actualTime=15396, actualLap=257}
Race{actualTime=15411, actualLap=257}
Race{actualTime=15426, actualLap=258}
Race{actualTime=15441, actualLap=258}
Race{actualTime=15456, actualLap=258}
Race{actualTime=15471, actualLap=258}
Race{actualTime=15486, actualLap=259}
Race{actualTime=15501, actualLap=259}
Race{actualTime=15516, actualLap=259}
Race{actualTime=15531, actualLap=259}
Race{actualTime=15546, actualLap=260}
Race{actualTime=15561, actualLap=260}
Race{actualTime=15576, actualLap=260}
Race{actualTime=15591, actualLap=260}
Race{actualTime=15606, actualLap=261}
Race{actualTime=15621, actualLap=261}
Race{actualTime=15636, actualLap=261}
Race{actualTime=15651, actualLap=261}
Race{actualTime=15666, actualLap=262}
Race{actualTime=15681, actualLap=262}
Race{actualTime=15696, actualLap=262}
Race{actualTime=15711, actualLap=262}
Race{actualTime=15726, actualLap=263}
Race{actualTime=15741, actualLap=263}
Race{actualTime=15756, actualLap=263}
Race{actualTime=15771, actualLap=263}
Race{actualTime=15786, actualLap=264}
Race{actualTime=15801, actualLap=264}
Race{actualTime=15816, actualLap=264}
Race{actualTime=15831, actualLap=264}
Race{actualTime=15846, actualLap=265}
Race{actualTime=15861, actualLap=265}
Race{actualTime=15876, actualLap=265}
Race{actualTime=15891, actualLap=265}
Race{actualTime=15906, actualLap=266}
Race{actualTime=15921, actualLap=266}
Race{actualTime=15936, actualLap=266}
Race{actualTime=15951, actualLap=266}
Race{actualTime=15966, actualLap=267}
Race{actualTime=15981, actualLap=267}
Race{actualTime=15996, actualLap=267}
Race{actualTime=16026, actualLap=268}
Race{actualTime=16041, actualLap=268}
Race{actualTime=16056, actualLap=268}
Race{actualTime=16071, actualLap=268}
Race{actualTime=16086, actualLap=269}
Race{actualTime=16101, actualLap=269}
Race{actualTime=16116, actualLap=269}
Race{actualTime=16131, actualLap=269}
Race{actualTime=16146, actualLap=270}
Race{actualTime=16161, actualLap=270}
Race{actualTime=16176, actualLap=270}
Race{actualTime=16191, actualLap=270}
Race{actualTime=16206, actualLap=271}
Race{actualTime=16221, actualLap=271}
Race{actualTime=16236, actualLap=271}
Race{actualTime=16251, actualLap=271}
Race{actualTime=16266, actualLap=272}
